,Unnamed: 166,Unnamed: 184,Unnamed: 181,Unnamed: 178,R1) Joint Funding of Investment (with Agencies),Unnamed: 172,Unnamed: 169,P) External Funding Allocation,Unnamed: 163,Unnamed: 141,Subagency,Unnamed: 224,W) Measurement Instruments Used,B) Year Established,Unnamed: 237,Unnamed: 153,Unnamed: 239,Unnamed: 92,Unnamed: 55,Unnamed: 21,Agency,Unnamed: 159,Unnamed: 240,Unnamed: 209,Unnamed: 107,R2) Joint Funding of Investment (with Other),Q) Legislation Required to Shift Focus?,Unnamed: 175,Unnamed: 128,F1) Primary Investment Objective,Unnamed: 162,H) Educational Services or Products Produced,Unnamed: 177,Y3) Process or Implementation Evaluation Type,Unnamed: 165,Unnamed: 26,Unnamed: 36,Unnamed: 124,Unnamed: 180,Unnamed: 52,Unnamed: 183,Unnamed: 214,Unnamed: 44,Unnamed: 222,Unnamed: 34,Unnamed: 252,Unnamed: 111,Unnamed: 18,Unnamed: 110,Unnamed: 243,Unnamed: 45,Unnamed: 99,Unnamed: 103,Unnamed: 43,Unnamed: 24,Unnamed: 126,L) Minority Serving Institutions,V) Outcomes Measured,Unnamed: 61,Unnamed: 50,Unnamed: 17,Unnamed: 232,Unnamed: 144,Unnamed: 94,Unnamed: 98,Unnamed: 40,Unnamed: 158, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
26,0,0,0,0,0,0,0,0,0,0,11,0,0,2007.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,1,0,0,0,0,41.66,42.6,45.67
27,0,0,0,0,0,0,0,0,0,101,11,0,14,1983.0,0,0,8,32,20,0,11,11,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,64.45,65.72,65.85
28,0,0,0,0,0,0,0,0,0,0,12,0,0,2003.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1.08,2,1.83
29,0,0,0,0,0,0,0,0,0,0,12,0,0,2002.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,3.97,5.79,5.41
30,0,0,0,0,0,0,0,0,0,0,12,69,7,,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11.5,22.9,13.74
31,0,0,0,0,0,0,0,0,0,0,11,0,50,1998.0,12,27,35,25,0,0,11,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,15.85,17.18,16.73
32,0,0,0,0,0,0,0,0,0,0,11,0,71,2001.0,0,0,39,0,0,0,11,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,12.8,13.39,13.35
33,0,0,0,0,0,0,0,0,0,0,11,0,0,1998.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,1,0,0,1,0,29.74,31.13,32.06
34,0,0,0,0,0,0,0,0,6,0,11,0,17,1991.0,0,0,13,0,0,0,11,0,0,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,2,0,1,0,1,1,0,1,0,40.47,42.5,44.75
35,0,0,0,0,0,0,0,0,0,0,11,0,2,1994.0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,1,0,0,1,0,3,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,0,1,0,5.93,6.88,6.92
36,0,0,0,0,0,0,0,0,0,0,62,0,57,1997.0,0,0,34,0,0,0,10,0,25,0,0,0,1,0,0,4,0,1,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1.552,1.7,1.648
37,0,0,0,0,0,0,0,0,0,0,62,0,17,2008.0,0,0,23,0,0,0,10,0,0,0,0,0,2,0,0,4,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.581,1.209,1.31
38,0,0,0,0,0,0,0,0,0,136,62,87,59,2002.0,0,0,31,0,0,0,10,0,0,0,0,3,2,0,0,6,6,0,3,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.144,0.539,0.3
39,0,0,0,0,0,0,0,0,0,78,16,0,38,2008.0,34,5,0,0,18,11,10,4,0,1,0,0,3,0,0,2,0,1,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,7.8,7,7
40,0,0,0,0,0,0,0,0,0,86,16,1,37,2010.0,1,21,0,0,16,0,10,17,0,9,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2, -   , -   ,2
41,0,0,0,0,0,0,0,0,0,82,2,0,0,2007.0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.8,1.8,1.8
42,0,0,0,0,0,0,0,0,0,81,2,82,0,2007.0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1.1,1.1,1.1
43,0,0,0,0,0,0,0,0,0,84,4,0,0,2008.0,0,18,0,0,0,0,10,2,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,11.6,13,3.7
