B) Year Established,Unnamed: 224,Unnamed: 141,Unnamed: 52,W) Measurement Instruments Used,Subagency,Unnamed: 43,Unnamed: 237,I4) Adult Learners Targeted?,Unnamed: 106,Unnamed: 13,Agency,Y3) Process or Implementation Evaluation Type,Unnamed: 252,Unnamed: 21,Unnamed: 222,Unnamed: 92,Y1) Formative Evaluation Type,Unnamed: 34,U) Measured Outputs,Unnamed: 139,Q) Legislation Required to Shift Focus?,J) Focus on Underrepresented Groups in STEM,Unnamed: 94,Unnamed: 99,G3) Research Approaches Not Used,Unnamed: 20,I1) STEM Learners Targeted? Specify.,S) Investment Partnerships,Unnamed: 145,Unnamed: 26,Unnamed: 18,Y2) Summative Evaluation Type,Unnamed: 46,N) STEM Discipline Focus,Unnamed: 226,Y4) Portfolio Evaluation/Review Type,Unnamed: 131,Unnamed: 41,Unnamed: 15,Unnamed: 39,Unnamed: 217,Unnamed: 253,Unnamed: 38,H) Educational Services or Products Produced,Unnamed: 188,Unnamed: 159,Unnamed: 36,L) Minority Serving Institutions,F1) Primary Investment Objective,Unnamed: 82,Unnamed: 83,Unnamed: 148,Unnamed: 227,Unnamed: 206,T) Partnerships with What Organization Types?,Unnamed: 156,Unnamed: 247,Unnamed: 190,Unnamed: 199,Unnamed: 201,Unnamed: 110,Unnamed: 19,Unnamed: 111, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
2001,61,113,0,0,58,0,0,0,0,1,5,0,1,0,0,0,0,0,2,1,3,1,0,0,0,0,0,3,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.188,0.21,0.429
2005,29,0,1,21,23,0,19,1,0,1,2,1,1,12,0,0,1,0,2,0,3,1,0,0,1,1,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,4,1,1,1,0,1,1,1,0,1,1,1,0,0,0,3.8310000000000004,7.704,10.388
2006,28,85,0,0,16,0,0,0,1,1,10,0,0,0,2,0,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.9609999999999999,2.461
2009,48,0,0,0,62,0,0,1,0,0,10,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.45299999999999996,0.3
2006,0,0,1,36,63,1,0,0,0,1,12,0,1,0,0,0,0,0,2,0,1,2,1,0,1,0,2,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,2,5,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1.0,1.4180000000000001,2.838
1994,0,62,0,0,24,0,0,2,0,1,7,0,0,0,0,3,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.752999999999999,7.311,6.757000000000001
2008,0,0,0,0,62,0,0,0,1,1,10,0,1,0,0,0,1,0,2,1,2,2,0,0,1,0,2,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,4,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0.785,4.58,6.914
2008,10,0,0,0,16,1,5,0,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,7.0,10.0,10.0
2002,63,71,0,0,58,0,0,0,1,1,5,0,0,0,0,0,0,0,2,0,3,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0.25,1.5419999999999998,1.0190000000000001
1998,0,0,0,0,15,0,0,0,0,1,10,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,2,3,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.72,0.74,0.75
1999,0,63,0,0,24,0,0,0,0,0,7,0,0,0,0,37,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.209,18.992,20.442
1989,0,0,0,3,16,0,0,0,0,1,10,0,1,10,0,0,0,1,1,1,3,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,5,1,1,0,1,1,1,1,0,1,0,0,0,0,0,39.711,38.298,44.501999999999995
2009,40,32,0,0,27,0,0,0,0,1,7,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1.449,1.449
